Date,Open,High,Low,Close,Year,Month
2009-03-01,10.0,11.24,8.16,9.98,2009,3
2009-04-01,10.04,17.51,9.94,15.45,2009,4
2009-05-01,15.94,28.84,14.76,25.12,2009,5
2009-06-01,25.6,31.08,23.0,29.68,2009,6
2009-07-01,29.7,33.16,24.83,31.93,2009,7
2009-08-01,31.98,35.18,29.0,33.45,2009,8
2009-09-01,33.8,41.3,32.0,40.99,2009,9
2009-10-01,41.2,52.34,36.8,47.31,2009,10
2009-11-01,46.58,54.98,42.84,50.57,2009,11
2009-12-01,50.98,55.67,48.6,53.41,2009,12
2010-01-01,53.6,57.58,46.42,49.84,2010,1
2010-02-01,49.0,51.48,44.6,47.32,2010,2
2010-03-01,47.8,52.06,47.3,50.97,2010,3
2010-04-01,50.67,59.48,48.8,57.1,2010,4
2010-05-01,56.94,58.08,50.66,57.57,2010,5
2010-06-01,56.7,59.9,52.6,53.83,2010,6
2010-07-01,53.55,60.94,53.02,58.99,2010,7
2010-08-01,59.4,68.88,59.01,62.22,2010,8
2010-09-01,62.8,71.74,62.51,70.3,2010,9
2010-10-01,70.9,76.0,68.21,71.86,2010,10
2010-11-01,72.2,77.6,58.0,61.21,2010,11
2010-12-01,61.8,68.36,55.44,62.54,2010,12
2011-01-01,62.98,63.54,49.39,52.59,2011,1
2011-02-01,53.0,57.69,46.71,51.29,2011,2
2011-03-01,51.84,65.2,50.8,61.98,2011,3
2011-04-01,62.0,68.26,60.5,61.02,2011,4
2011-05-01,61.26,61.68,54.5,60.07,2011,5
2011-06-01,60.4,63.39,54.8,62.38,2011,6
2011-07-01,63.0,68.0,61.36,62.13,2011,7
2011-08-01,62.9,63.96,50.51,55.61,2011,8
2011-09-01,56.0,60.08,51.2,54.5,2011,9
2011-10-01,53.8,64.8,48.1,62.9,2011,10
2011-11-01,62.2,63.7,52.04,54.49,2011,11
2011-12-01,57.0,59.8,47.4,47.72,2011,12
2012-01-01,47.92,66.5,46.11,65.99,2012,1
2012-02-01,65.9,74.8,63.6,69.14,2012,2
2012-03-01,69.0,77.88,66.2,73.46,2012,3
2012-04-01,73.62,76.1,69.11,70.07,2012,4
2012-05-01,70.4,70.59,58.85,66.02,2012,5
2012-06-01,65.45,70.6,62.14,67.83,2012,6
2012-07-01,68.15,73.19,67.57,72.85,2012,7
2012-08-01,73.0,74.78,65.27,65.97,2012,8
2012-09-01,66.2,77.69,64.46,76.44,2012,9
2012-10-01,76.4,84.2,75.6,82.29,2012,10
2012-11-01,82.54,89.6,82.22,88.48,2012,11
2012-12-01,89.2,95.0,88.01,92.84,2012,12
2013-01-01,93.2,107.0,93.2,104.41,2013,1
2013-02-01,104.41,107.8,93.4,94.5,2013,2
2013-03-01,94.0,100.15,83.42,85.71,2013,3
2013-04-01,85.7,101.8,83.43,100.28,2013,4
2013-05-01,100.99,109.43,97.2,97.49,2013,5
2013-06-01,99.0,102.94,87.15,92.2,2013,6
2013-07-01,92.4,100.4,57.71,64.76,2013,7
2013-08-01,66.0,67.81,43.22,48.65,2013,8
2013-09-01,49.2,78.94,44.8,57.5,2013,9
2013-10-01,58.0,76.44,56.08,73.76,2013,10
2013-11-01,74.0,77.27,64.65,73.74,2013,11
2013-12-01,74.4,83.0,71.63,74.02,2013,12
2014-01-01,74.74,76.35,60.8,61.59,2014,1
2014-02-01,61.54,62.7,58.42,60.95,2014,2
2014-03-01,60.52,83.36,60.34,82.7,2014,3
2014-04-01,83.45,94.98,80.8,88.14,2014,4
2014-05-01,88.8,117.6,86.98,113.89,2014,5
2014-06-01,114.8,117.57,101.62,108.38,2014,6
2014-07-01,108.43,114.46,100.44,108.21,2014,7
2014-08-01,107.4,118.69,103.31,114.33,2014,8
2014-09-01,114.6,126.85,107.18,111.7,2014,9
2014-10-01,112.1,137.8,109.2,136.83,2014,10
2014-11-01,137.1,143.91,132.44,142.08,2014,11
2014-12-01,142.08,155.0,134.0,154.57,2014,12
2015-01-01,154.4,179.0,150.47,172.5,2015,1
2015-02-01,172.5,173.88,156.1,172.55,2015,2
2015-03-01,174.8,182.0,156.8,163.31,2015,3
2015-04-01,162.8,172.8,154.53,167.96,2015,4
2015-05-01,170.0,176.96,157.8,176.52,2015,5
2015-06-01,177.0,179.4,158.9,168.6,2015,6
2015-07-01,169.0,175.58,156.45,165.74,2015,7
2015-08-01,165.9,169.19,118.0,137.9,2015,8
2015-09-01,135.61,155.5,127.0,145.92,2015,9
2015-10-01,146.96,155.94,141.73,151.82,2015,10
2015-11-01,151.73,157.96,144.03,153.3,2015,11
2015-12-01,153.0,154.52,133.71,145.23,2015,12
2016-01-01,145.0,149.9,126.45,149.38,2016,1
2016-02-01,150.4,157.85,132.74,137.67,2016,2
2016-03-01,138.8,175.12,138.35,172.91,2016,3
2016-04-01,172.02,190.44,165.33,188.73,2016,4
2016-05-01,189.8,209.0,181.28,206.39,2016,5
2016-06-01,206.4,223.0,201.14,221.3,2016,6
2016-07-01,221.96,247.18,221.35,243.44,2016,7
2016-08-01,244.0,275.0,240.68,272.56,2016,8
2016-09-01,273.3,290.0,231.2,250.85,2016,9
2016-10-01,253.41,265.5,245.8,253.52,2016,10
2016-11-01,255.0,262.72,219.1,234.28,2016,11
2016-12-01,235.4,245.0,218.25,231.26,2016,12
2017-01-01,231.98,284.31,226.3,279.1,2017,1
2017-02-01,280.4,294.19,275.61,290.56,2017,2
2017-03-01,290.6,311.57,283.6,309.82,2017,3
2017-04-01,309.6,330.58,300.2,326.14,2017,4
2017-05-01,326.0,330.3,275.15,286.38,2017,5
2017-06-01,286.66,306.34,280.21,292.37,2017,6
2017-07-01,293.04,372.0,290.78,361.96,2017,7
2017-08-01,363.0,368.52,337.37,351.15,2017,8
2017-09-01,351.0,383.25,345.5,350.0,2017,9
2017-10-01,354.6,375.75,299.0,314.35,2017,10
2017-11-01,315.5,329.8,296.0,306.8,2017,11
2017-12-01,307.2,319.0,300.65,315.05,2017,12
2018-01-01,314.0,366.0,307.35,354.45,2018,1
2018-02-01,355.0,366.5,304.65,322.25,2018,2
2018-03-01,320.7,325.8,285.1,304.9,2018,3
2018-04-01,305.0,368.75,303.3,362.05,2018,4
2018-05-01,362.85,364.4,325.7,346.2,2018,5
2018-06-01,348.0,350.1,327.35,339.6,2018,6
2018-07-01,340.0,393.35,332.45,367.9,2018,7
2018-08-01,369.95,404.0,338.0,343.4,2018,8
2018-09-01,347.2,350.0,166.15,183.45,2018,9
2018-10-01,180.0,268.45,168.6,188.05,2018,10
2018-11-01,192.0,231.4,147.0,169.65,2018,11
2018-12-01,174.0,194.3,160.2,181.75,2018,12
2019-01-01,182.85,236.3,181.15,194.3,2019,1
2019-02-01,197.0,236.9,167.65,231.2,2019,2
2019-03-01,234.6,281.3,228.8,275.05,2019,3
2019-04-01,277.0,285.9,165.3,168.0,2019,4
2019-05-01,163.3,178.05,133.05,147.95,2019,5
2019-06-01,147.95,153.8,98.75,108.7,2019,6
